# PDIoT walking data,,,,,,,
# Start time: 20180925T200210,,,,,,,
# Group: A,,,,,,,
# Subject: HelloWorld,,,,,,,
# Activity type: Climbing stairs,,,,,,,
# Sensor position: Wrist,,,,,,,
# Side of body: Left,,,,,,,
# Sensor mounting: Body,,,,,,,
# Number of steps: 100,,,,,,,
# Notes: ,,,,,,,
,,,,,,,
timestamp,seq,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1.5379E+12,0,-0.34179688,0.85058594,-0.07910156,5.8125,9.0625,10.625
1.5379E+12,1,-0.30273438,1.0771484,-0.008789063,-25.25,6.78125,3.65625
1.5379E+12,2,-0.3330078,0.9423828,-0.033203125,11.1875,2.75,-0.71875
1.5379E+12,3,-0.3203125,0.9326172,-0.03515625,-0.59375,2.15625,3.3125
1.5379E+12,4,-0.30078125,0.9765625,-0.037109375,-2.46875,1.90625,2.9375
1.5379E+12,5,-0.30371094,0.97753906,-0.048828125,2.71875,-0.78125,2.03125
1.5379E+12,6,-0.29296875,0.9628906,-0.051757812,-1.5625,-3.03125,3.90625
1.5379E+12,7,-0.265625,0.98046875,-0.06738281,2.15625,-5.0625,8.375
1.5379E+12,8,-0.26660156,0.9404297,-0.07519531,1.71875,-5.0625,12.28125
1.5379E+12,9,-0.29785156,0.96191406,-0.08496094,-3.75,-3.78125,17.21875
1.5379E+12,10,-0.27441406,0.9667969,-0.09082031,4.96875,-5.59375,20.09375
1.5379E+12,11,-0.22363281,0.9589844,-0.087890625,6.375,-8.65625,19.21875
1.5379E+12,12,-0.19726562,0.9482422,-0.10058594,-0.71875,-16.59375,20.9375
1.5379E+12,13,-0.20214844,0.9345703,-0.10449219,-9.75,-26.90625,24.40625
1.5379E+12,14,-0.1640625,0.91308594,-0.08300781,-12.84375,-31.40625,32.53125
1.5379E+12,15,-0.16503906,0.9404297,-0.06347656,-22.625,-36.40625,42.25
1.5379E+12,16,-0.15917969,0.97558594,0.041992188,-16.8125,-37.03125,48.90625
1.5379E+12,17,-0.14453125,0.98535156,0.125,-24.6875,-30,51.9375
1.5379E+12,18,-0.115234375,0.9423828,0.12402344,-36.28125,-28.375,53.78125
1.5379E+12,19,-0.11621094,0.9628906,0.12792969,-43.0625,-32.03125,54.6875
1.5379E+12,20,-0.12402344,0.96972656,0.12109375,-32.5625,-40.375,48.90625
1.5379E+12,21,-0.14550781,1.0380859,0.12792969,-31.28125,-44.21875,41.09375
1.5379E+12,22,-0.19335938,1.0341797,0.13378906,-36.28125,-40.03125,35.96875
1.5379E+12,23,-0.19238281,1.0566406,0.12988281,-20.375,-33.125,28.75
1.5379E+12,24,-0.171875,1.1962891,0.234375,3.5,-5.46875,14.28125
1.5379E+12,25,0.041015625,1.0527344,0.3017578,-1.9375,89.1875,-3.71875
